ANNO,TOTAL,PCP SENDERO LUMINOSO,AGENTES DEL ESTADO,CADS,MRTA,NO DETERMINADO Y OTROS
1980,23,13,6,,,4
1981,49,34,9,,,6
1982,576,379,148,8,2,39
1983,2256,1107,990,26,3,130
1984,4086,2053,1728,110,1,194
1985,1397,700,585,33,7,72
1986,920,488,344,4,2,82
1987,1135,737,274,12,4,108
1988,1470,929,400,15,19,107
1989,2400,1413,663,27,65,232
1990,2327,1371,602,90,53,211
1991,1837,1015,483,71,66,202
1992,1771,928,574,28,62,179
1993,1016,721,174,15,17,89
1994,411,225,109,3,16,58
1995,290,166,50,8,14,52
1996,177,93,50,8,4,22
1997,140,78,26,2,2,32
1998,105,57,23,2,,23
1999,86,38,17,3,1,27
2000,35,19,5,1,1,9
