Presunto Responsable Grupal,Anno,Muertos y Desaparecidos
PCP SENDERO LUMINOSO,1980,13
PCP SENDERO LUMINOSO,1981,34
PCP SENDERO LUMINOSO,1982,379
PCP SENDERO LUMINOSO,1983,1107
PCP SENDERO LUMINOSO,1984,2053
PCP SENDERO LUMINOSO,1985,700
PCP SENDERO LUMINOSO,1986,488
PCP SENDERO LUMINOSO,1987,737
PCP SENDERO LUMINOSO,1988,929
PCP SENDERO LUMINOSO,1989,1413
PCP SENDERO LUMINOSO,1990,1371
PCP SENDERO LUMINOSO,1991,1015
PCP SENDERO LUMINOSO,1992,928
PCP SENDERO LUMINOSO,1993,721
PCP SENDERO LUMINOSO,1994,225
PCP SENDERO LUMINOSO,1995,166
PCP SENDERO LUMINOSO,1996,93
PCP SENDERO LUMINOSO,1997,78
PCP SENDERO LUMINOSO,1998,57
PCP SENDERO LUMINOSO,1999,38
PCP SENDERO LUMINOSO,2000,19
AGENTES DEL ESTADO,1980,6
AGENTES DEL ESTADO,1981,9
AGENTES DEL ESTADO,1982,148
AGENTES DEL ESTADO,1983,990
AGENTES DEL ESTADO,1984,1728
AGENTES DEL ESTADO,1985,585
AGENTES DEL ESTADO,1986,344
AGENTES DEL ESTADO,1987,274
AGENTES DEL ESTADO,1988,400
AGENTES DEL ESTADO,1989,663
AGENTES DEL ESTADO,1990,602
AGENTES DEL ESTADO,1991,483
AGENTES DEL ESTADO,1992,574
AGENTES DEL ESTADO,1993,174
AGENTES DEL ESTADO,1994,109
AGENTES DEL ESTADO,1995,50
AGENTES DEL ESTADO,1996,50
AGENTES DEL ESTADO,1997,26
AGENTES DEL ESTADO,1998,23
AGENTES DEL ESTADO,1999,17
AGENTES DEL ESTADO,2000,5
